IN METHOD::<spec.harness.Launch: java.lang.String checkBenchmarkKit()>::STATICINVOKE::<java.lang.Class: java.lang.Class forName(java.lang.String)>::378
IN METHOD::<spec.harness.Launch: java.lang.String checkBenchmarkKit()>::STATICINVOKE::<spec.harness.Context: java.io.PrintStream getOut()>::385
IN METHOD::<spec.harness.Launch: java.lang.String checkBenchmarkKit()>::SPECIALINVOKE::<spec.validity.Digests: void <init>(java.io.PrintStream)>::385
IN METHOD::<spec.harness.Launch: java.lang.String checkBenchmarkKit()>::STATICINVOKE::<spec.harness.Context: java.io.PrintStream getOut()>::387
IN METHOD::<spec.harness.Launch: java.lang.String checkBenchmarkKit()>::STATICINVOKE::<spec.harness.Context: java.io.PrintStream getOut()>::388
IN METHOD::<spec.harness.Launch: java.lang.String checkBenchmarkKit()>::STATICINVOKE::<spec.harness.Context: java.io.PrintStream getOut()>::389
IN METHOD::<spec.harness.Launch: java.lang.String checkBenchmarkKit()>::STATICINVOKE::<spec.harness.Context: java.io.PrintStream getOut()>::390
IN METHOD::<spec.harness.Launch: java.lang.String checkBenchmarkKit()>::INVOKE::spec.validity.Digests::r25::<spec.validity.Digests: java.lang.String crunch_jars()>::392
IN METHOD::<spec.harness.Launch: java.lang.String checkBenchmarkKit()>::SPECIALINVOKE::<java.lang.StringBuilder: void <init>()>::394
IN METHOD::<spec.harness.Launch: java.lang.String checkBenchmarkKit()>::INVOKE::java.lang.StringBuilder::$r12::<java.lang.StringBuilder: java.lang.StringBuilder append(java.lang.String)>::394
IN METHOD::<spec.harness.Launch: java.lang.String checkBenchmarkKit()>::INVOKE::java.lang.StringBuilder::$r13::<java.lang.StringBuilder: java.lang.StringBuilder append(java.lang.String)>::394
IN METHOD::<spec.harness.Launch: java.lang.String checkBenchmarkKit()>::INVOKE::java.lang.StringBuilder::$r14::<java.lang.StringBuilder: java.lang.StringBuilder append(java.lang.String)>::394
IN METHOD::<spec.harness.Launch: java.lang.String checkBenchmarkKit()>::INVOKE::java.lang.StringBuilder::$r15::<java.lang.StringBuilder: java.lang.String toString()>::394
IN METHOD::<spec.harness.Launch: java.lang.String checkBenchmarkKit()>::INVOKE::spec.validity.Digests::r25::<spec.validity.Digests: java.lang.String crunch_resources()>::396
